site_name,latitude,longitude,mean_dbh,tot_dens,frac_evergreen,frac_evergreen_wtd,site_label,selected,fontface
AK06_site_1-25663,44.3211,-73.8991,22.074468085106382,0.11750000000000001,0.8723404255319149,0.9132530120481928,AK06,FALSE,plain
AK60_site_1-25674,43.5821,-74.5107,19.333333333333332,0.075,0.8333333333333334,0.875,AK60,TRUE,bold
BH02_site_1-25665,43.3724,-89.9071,25.205405405405404,0.0925,0.5405405405405406,0.461076560154407,BH02,FALSE,plain
BH03_site_1-25666,43.3919,-89.8454,23.333333333333332,0.03,0,0,BH03,FALSE,plain
BH05_site_1-25667,43.408,-89.8231,18.095238095238095,0.0525,0,0,BH05,TRUE,bold
BH06_site_1-25668,43.4288,-89.8293,18.804347826086957,0.0575,0,0,BH06,FALSE,plain
BH07_site_1-25669,43.4199,-89.8011,23.653846153846153,0.0975,0,0,BH07,TRUE,bold
BH10_site_1-25670,43.4052,-89.7619,19.0625,0.04,0,0,BH10,FALSE,plain
BH12_site_1-25671,43.3935,-89.7401,29.323076923076922,0.0325,0,0,BH12,FALSE,plain
BH14_site_1-25672,43.4157,-89.7235,18.055555555555557,0.0675,0.2962962962962963,0.37948717948717947,BH14,FALSE,plain
BI01_site_1-25676,43.6519,-89.7885,35.94444444444444,0.0225,0,0,BI01,FALSE,plain
BI02_site_1-25673,43.652,-89.7916,30.375,0.03,0,0,BI02,FALSE,plain
BI03_site_1-25677,43.6507,-89.79,31.25,0.025,0,0,BI03,FALSE,plain
BI04_site_1-25678,43.6514,-89.7955,28.970588235294116,0.0425,0.058823529411764705,0.025380710659898477,BI04,FALSE,plain
BI05_site_1-25679,43.6499,-89.8001,32.875,0.06,0.875,0.9271229404309252,BI05,FALSE,plain
BI06_site_1-25680,43.6491,-89.7962,27.318181818181817,0.055,0.36363636363636365,0.5840266222961731,BI06,FALSE,plain
BI07_site_1-25732,43.6523,-89.7945,26.82608695652174,0.0575,0.043478260869565216,0.04457050243111831,BI07,FALSE,plain
BI08_site_1-25733,43.6526,-89.7971,31,0.0325,0.46153846153846156,0.6575682382133995,BI08,FALSE,plain
BI09_site_1-25734,43.6531,-89.7899,29.423076923076923,0.0325,0,0,BI09,FALSE,plain
BI10_site_1-25735,43.6511,-89.7871,24.5,0.0375,0,0,BI10,FALSE,plain
GR08_site_1-25681,39.695,-78.4661,24.863636363636363,0.022,0.6363636363636364,0.7623400365630713,GR08,FALSE,plain
IDS05_site_1-25682,39.6533,-78.4968,23.076923076923077,0.065,0.038461538461538464,0.0375,IDS05,FALSE,plain
IDS10_site_1-25683,39.6731,-78.423,26.083333333333332,0.045,0,0,IDS10,FALSE,plain
IDS34_site_1-25684,39.6651,-78.9711,26.76923076923077,0.0325,0,0,IDS34,FALSE,plain
IDS35_site_1-25685,39.6117,-79.0838,19.852941176470587,0.0425,0.29411764705882354,0.3333333333333333,IDS35,FALSE,plain
IDS36_site_1-25686,39.6119,-79.0854,29.321428571428573,0.035,0,0,IDS36,TRUE,bold
IDS40_site_1-25687,39.5572,-79.2098,17.93548387096774,0.0775,0,0,IDS40,FALSE,plain
MN02_site_1-25688,47.6558,-91.4462,18.068181818181817,0.11,0.6590909090909091,0.6823899371069182,MN02,FALSE,plain
MN04_site_1-25689,47.7407,-91.5741,13.703703703703704,0.135,1,1,MN04,FALSE,plain
MN05_site_1-25690,47.408,-91.2944,15.238095238095237,0.105,0.023809523809523808,0.01953125,MN05,FALSE,plain
MN06_site_1-25691,47.3869,-91.2323,16.38888888888889,0.0225,0,0,MN06,FALSE,plain
MN08_site_1-25692,47.5353,-91.3143,15.807692307692308,0.1625,0.9538461538461539,0.9294403892944039,MN08,FALSE,plain
NC07_site_1-25693,45.9758,-90.2195,12.954545454545455,0.11,0,0,NC07,FALSE,plain
NC09_site_1-25695,45.9714,-90.284,14.166666666666666,0.1125,0.17777777777777778,0.18823529411764706,NC09,FALSE,plain
NC10_site_1-25696,45.9583,-90.2257,18.560606060606062,0.0825,0.12121212121212122,0.12244897959183673,NC10,FALSE,plain
NC12_site_1-25698,45.9518,-90.2509,14.194915254237289,0.1475,1,1,NC12,FALSE,plain
NC16_site_1-25700,45.9586,-90.244,16.933962264150942,0.1325,0.9245283018867925,0.9442896935933147,NC16,FALSE,plain
NC17_site_1-25701,45.9448,-90.2591,19.72222222222222,0.0675,0,0,NC17,FALSE,plain
NC18_site_1-25702,45.9593,-90.2645,57.6625,0.02,0.75,0.802948189898114,NC18,FALSE,plain
NC19_site_1-25703,45.9364,-90.199700000000007,29.0625,0.04,0.9375,0.9731182795698925,NC19,FALSE,plain
NC21_site_1-25704,45.9706,-90.2676,14.642857142857142,0.07,0.14285714285714285,0.13414634146341464,NC21,FALSE,plain
NC22_site_1-25705,45.8053,-90.0805,23.3,0.0625,0,0,NC22,FALSE,plain
NC23_site_1-25706,45.8027,-90.0797,25.84375,0.04,0,0,NC23,FALSE,plain
OF01_site_1-25707,46.1935,-89.2415,33.97391304347826,0.0575,0.5217391304347826,0.5532377783465575,OF01,FALSE,plain
OF02_site_1-25708,46.3468,-89.1812,28.7,0.0625,1,1,OF02,TRUE,bold
OF04_site_1-25709,46.2674,-89.3014,24.852941176470587,0.0425,0,0,OF04,FALSE,plain
OF05_site_1-25710,46.3023,-89.2381,14.895833333333334,0.12,0.0625,0.05944055944055944,OF05,TRUE,bold
PB03_site_1-25711,46.7961,-90.9486,14.642857142857142,0.0525,0,0,PB03,FALSE,plain
PB05_site_1-25712,46.3524,-91.6614,13.716216216216216,0.0925,0.972972972972973,0.9753694581280788,PB05,FALSE,plain
PB07_site_1-25713,46.4402,-91.4676,20,0.055,1,1,PB07,FALSE,plain
PB08_site_1-25714,46.4427,-91.4905,17.25,0.05,1,1,PB08,FALSE,plain
PB09_site_1-25715,46.4325,-91.5199,17.65625,0.08,1,1,PB09,FALSE,plain
PB10_site_1-25716,46.4331,-91.5476,19.09090909090909,0.055,1,1,PB10,FALSE,plain
